   39.88 	 31392.71 
   34.60 	 29549.95 
   35.57 	 29636.10 
   39.65 	 31502.17 
   42.04 	 33015.26 
   38.22 	 30960.49 
   44.74 	 33441.11 
   46.25 	 34063.11 
   37.60 	 30738.10 
   30.99 	 28306.42 
   30.24 	 27482.40 
   45.81 	 34034.58 
   37.73 	 30534.95 
   42.05 	 32526.18 
   40.16 	 31559.87 
   34.39 	 29462.97 
   38.03 	 31003.24 
   38.22 	 31152.64 
   39.68 	 31593.72 
   39.69 	 31717.36 
   43.19 	 33043.30 
   37.87 	 30722.47 
   40.75 	 32161.87 
   29.56 	 27534.70 
   31.89 	 28161.98 
   47.55 	 34342.26 
   40.16 	 31717.40 
   40.11 	 31345.93 
   42.80 	 32710.04 
   34.08 	 28945.47 
   42.63 	 32719.06 
   35.15 	 29976.85 
   34.79 	 29505.99 
   33.61 	 28914.21 
   39.69 	 31433.84 
   33.82 	 28939.35 
   38.71 	 30931.97 
   42.00 	 32286.10 
   35.62 	 30190.68 
   37.17 	 30084.40 
   45.59 	 33844.29 
   37.57 	 30623.98 
   46.90 	 34600.58 
   35.35 	 29996.72 
   32.75 	 28803.03 
   40.38 	 31738.83 
   40.40 	 31920.59 
   46.06 	 34047.52 
   37.03 	 30274.59 
   34.88 	 29525.48 
   35.99 	 29960.88 
   33.44 	 29043.93 
   44.12 	 32578.11 
   29.81 	 27519.39 
   32.99 	 28530.25 
   34.49 	 29235.27 
   42.69 	 32498.34 
   39.18 	 31290.84 
   37.77 	 30764.27 
   34.75 	 29529.53 
   39.81 	 31373.39 
   39.93 	 31432.09 
   29.02 	 26987.60 
   34.61 	 29535.69 
   45.88 	 33698.14 
   32.03 	 28307.07 
   36.96 	 30127.72 
   34.39 	 29263.08 
   47.32 	 34520.73 
   45.22 	 33619.86 
   34.49 	 29261.17 
   39.08 	 31405.59 
   40.59 	 31869.20 
   39.03 	 31013.09 
   37.00 	 30335.35 
   42.12 	 32459.06 
   42.18 	 32507.58 
   37.11 	 30163.45 
   30.81 	 27849.01 
   42.13 	 32402.26 
   48.49 	 34965.43 
   38.72 	 31382.35 
   32.10 	 28310.15 
   43.01 	 33041.69 
   39.59 	 31495.52 
   38.61 	 31017.64 
   39.82 	 31545.22 
   39.39 	 31192.16 
   40.68 	 31890.06 
   43.14 	 33312.88 
   40.79 	 32436.52 
   26.70 	 25928.14 
   34.29 	 29267.57 
   40.63 	 31741.44 
   42.22 	 32532.28 
   44.25 	 33581.19 
   37.78 	 30642.92 
   37.35 	 30508.83 
   36.21 	 30061.16 
   40.97 	 32243.90 
   43.56 	 32601.91 
   35.79 	 29900.84 
   35.80 	 30101.50 
   40.60 	 31919.14 
   37.50 	 30531.45 
   48.45 	 34698.56 
   34.55 	 29851.70 
   44.48 	 33339.97 
   37.79 	 30875.12 
   36.12 	 30186.65 
   48.26 	 35027.17 
   46.14 	 34202.02 
   31.43 	 28020.27 
   37.66 	 30718.71 
   39.21 	 31295.72 
   40.96 	 31845.57 
   32.17 	 28559.48 
   41.18 	 32078.15 
   42.40 	 32409.34 
   35.83 	 29814.56 
   41.30 	 32056.72 
   27.54 	 26155.40 
   36.80 	 30635.65 
   38.86 	 31398.63 
   38.17 	 30780.25 
   36.99 	 30056.37 
   41.35 	 31966.25 
   35.86 	 29993.17 
   41.43 	 32102.61 
   29.65 	 26969.18 
   42.91 	 32779.86 
   36.01 	 29979.85 
   38.37 	 30961.31 
   41.51 	 32337.47 
   46.48 	 34283.76 
   39.86 	 31678.62 
   40.84 	 32026.12 
   44.88 	 33846.64 
   32.15 	 28326.98 
   39.31 	 31306.20 
   43.88 	 33101.71 
   29.97 	 27046.18 
   43.26 	 32865.92 
   45.21 	 33997.04 
   35.25 	 29081.60 
   47.73 	 34665.80 
   40.02 	 31310.98 
   45.25 	 33932.17 
   42.78 	 32797.32 
   36.41 	 30292.40 
   34.46 	 28938.41 
   23.23 	 24001.95 
   37.18 	 30807.95 
   42.08 	 32372.34 
   37.46 	 30262.61 
   33.50 	 28995.74 
   44.27 	 33270.96 
   42.01 	 32551.35 
   39.42 	 31311.56 
   38.49 	 31084.99 
   40.36 	 32065.82 
   43.68 	 33045.28 
   41.39 	 32195.15 
   48.12 	 34942.30 
   37.32 	 30786.09 
   34.55 	 29395.50 
   37.19 	 30315.82 
   49.97 	 35362.45 
   40.71 	 31792.15 
   39.15 	 31248.73 
   33.66 	 28784.46 
   37.75 	 30680.89 
   32.46 	 28425.65 
   35.62 	 30015.37 
   40.28 	 31891.64 
   40.52 	 31625.31 
   42.58 	 32684.04 
   37.80 	 30853.54 
   38.30 	 30657.06 
   35.26 	 29475.45 
   32.51 	 28626.85 
   35.35 	 29805.31 
   42.84 	 32806.07 
   37.11 	 30360.72 
   50.95 	 35999.31 
   31.58 	 27939.27 
   41.33 	 32434.58 
   38.81 	 31037.88 
   40.62 	 32187.45 
   41.02 	 31750.97 
   45.33 	 33635.02 
   33.76 	 28810.35 
   43.16 	 32879.43 
   26.16 	 25879.86 
   40.51 	 31938.52 
   38.47 	 30973.70 
   37.06 	 30508.98 
   38.07 	 31009.40 
   42.80 	 32952.62 
   46.88 	 33872.00 
